epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,329.779,0.84086,1.14781,0.83842,0.00667,1,0.91558,0.5636,0.9776,2.97731,0.80817,0.00124449,0.00124449,0.00124449
45,337.242,0.97587,1.19363,0.8421,0.00667,1,0.91558,0.5636,0.9776,2.97731,0.80817,0.00126821,0.00126821,0.00126821
46,344.701,0.96256,1.19047,0.85535,0.96618,0.62932,0.91657,0.66187,0.84243,2.74377,0.79498,0.0012917,0.0012917,0.0012917
47,352.184,0.88649,1.10501,0.83809,0.96618,0.62932,0.91657,0.66187,0.84243,2.74377,0.79498,0.00131497,0.00131497,0.00131497
48,359.511,0.83653,1.19253,0.85118,1,0.46426,0.995,0.7564,0.83333,2.47407,0.79296,0.00133803,0.00133803,0.00133803
49,367.156,0.81368,1.06564,0.83328,1,0.46426,0.995,0.7564,0.83333,2.47407,0.79296,0.00136086,0.00136086,0.00136086
50,374.484,0.80805,1.23804,0.82909,1,0.56264,0.995,0.75508,0.85209,2.39137,0.80457,0.00138347,0.00138347,0.00138347
51,381.992,0.87878,1.04625,0.82785,1,0.56264,0.995,0.75508,0.85209,2.39137,0.80457,0.00139195,0.00139195,0.00139195
52,389.308,0.84553,1.10518,0.83517,1,0.61371,0.995,0.75677,0.81784,2.18301,0.79546,0.00138644,0.00138644,0.00138644
53,396.759,0.77677,1.06131,0.80109,1,0.61371,0.995,0.75677,0.81784,2.18301,0.79546,0.00138094,0.00138094,0.00138094
54,404.386,0.78029,1.03758,0.85386,0.9919,0.75135,0.995,0.74444,0.81088,2.02045,0.79425,0.00137544,0.00137544,0.00137544
55,411.544,0.81596,1.085,0.83805,0.9919,0.75135,0.995,0.74444,0.81088,2.02045,0.79425,0.00136994,0.00136994,0.00136994
56,418.934,0.84949,1.08129,0.8274,0.99815,0.87291,0.995,0.75721,0.82582,1.92393,0.79636,0.00136444,0.00136444,0.00136444
57,426.141,0.86898,1.04061,0.83558,0.99815,0.87291,0.995,0.75721,0.82582,1.92393,0.79636,0.00135894,0.00135894,0.00135894
58,433.544,0.83389,1.03493,0.8496,1,0.95264,0.995,0.7556,0.74229,1.82884,0.78122,0.00135344,0.00135344,0.00135344
59,440.761,0.74767,0.98553,0.80684,1,0.95264,0.995,0.7556,0.74229,1.82884,0.78122,0.00134794,0.00134794,0.00134794
60,448.146,0.81935,1.03476,0.83384,0.99389,0.95361,0.995,0.7635,0.72151,1.73472,0.77583,0.00134244,0.00134244,0.00134244
61,455.539,0.84069,0.98575,0.83295,0.99389,0.95361,0.995,0.7635,0.72151,1.73472,0.77583,0.00133693,0.00133693,0.00133693
62,462.846,0.88998,1.04208,0.80055,0.98067,0.96119,0.995,0.7487,0.70491,1.6491,0.77804,0.00133143,0.00133143,0.00133143
63,470.186,0.83825,1.00485,0.83971,0.98067,0.96119,0.995,0.7487,0.70491,1.6491,0.77804,0.00132593,0.00132593,0.00132593
64,477.701,0.85039,0.95399,0.84396,0.97067,0.9844,0.995,0.75302,0.7393,1.5006,0.78863,0.00132043,0.00132043,0.00132043
65,485.011,0.85283,0.89784,0.81469,0.97067,0.9844,0.995,0.75302,0.7393,1.5006,0.78863,0.00131493,0.00131493,0.00131493
66,492.295,0.85801,0.98043,0.84549,0.98367,0.99538,0.995,0.76981,0.78722,1.44507,0.79284,0.00130943,0.00130943,0.00130943
67,499.736,0.76933,0.90414,0.84521,0.98367,0.99538,0.995,0.76981,0.78722,1.44507,0.79284,0.00130393,0.00130393,0.00130393
68,507.183,0.78939,0.97766,0.82334,0.98427,0.98396,0.995,0.771,0.82171,1.48402,0.79535,0.00129843,0.00129843,0.00129843
69,514.643,0.78309,0.99919,0.81752,0.98427,0.98396,0.995,0.771,0.82171,1.48402,0.79535,0.00129293,0.00129293,0.00129293
70,522.225,0.8106,1.01754,0.81275,0.96969,0.97139,0.995,0.7924,0.77418,1.5098,0.7907,0.00128742,0.00128742,0.00128742
71,529.652,0.8176,0.91317,0.82289,0.96969,0.97139,0.995,0.7924,0.77418,1.5098,0.7907,0.00128192,0.00128192,0.00128192
72,536.809,0.74772,0.99662,0.82028,0.96603,0.97881,0.995,0.77577,0.78318,1.41015,0.79398,0.00127642,0.00127642,0.00127642
73,544.161,0.7384,0.93512,0.83071,0.96603,0.97881,0.995,0.77577,0.78318,1.41015,0.79398,0.00127092,0.00127092,0.00127092
74,551.29,0.72162,0.92835,0.82186,0.97154,0.98857,0.995,0.76213,0.80895,1.19791,0.79503,0.00126542,0.00126542,0.00126542
75,558.464,0.81065,0.89004,0.85262,0.97154,0.98857,0.995,0.76213,0.80895,1.19791,0.79503,0.00125992,0.00125992,0.00125992
76,565.873,0.79428,0.89911,0.79926,0.97676,0.99639,0.995,0.7776,0.75449,1.03886,0.78665,0.00125442,0.00125442,0.00125442
77,573.088,0.68948,0.86114,0.80716,0.97676,0.99639,0.995,0.7776,0.75449,1.03886,0.78665,0.00124892,0.00124892,0.00124892
78,580.745,0.75397,0.93539,0.81528,0.97601,0.99487,0.995,0.75613,0.74556,0.99319,0.78563,0.00124342,0.00124342,0.00124342
79,588.081,0.75161,0.91946,0.83852,0.97601,0.99487,0.995,0.75613,0.74556,0.99319,0.78563,0.00123791,0.00123791,0.00123791
80,595.436,0.83348,0.97955,0.82339,0.97403,0.99519,0.995,0.78572,0.75085,1.02465,0.78407,0.00123241,0.00123241,0.00123241
81,602.723,0.74376,0.91789,0.83082,0.97403,0.99519,0.995,0.78572,0.75085,1.02465,0.78407,0.00122691,0.00122691,0.00122691
82,610.254,0.78647,0.89322,0.81271,0.96809,1,0.995,0.80001,0.75979,0.98745,0.78273,0.00122141,0.00122141,0.00122141
83,617.634,0.66728,0.81345,0.80969,0.96809,1,0.995,0.80001,0.75979,0.98745,0.78273,0.00121591,0.00121591,0.00121591
84,625.022,0.71284,0.80294,0.81704,0.97056,1,0.995,0.78288,0.7955,0.93997,0.78633,0.00121041,0.00121041,0.00121041
85,632.07,0.70679,0.80505,0.81583,0.97056,1,0.995,0.78288,0.7955,0.93997,0.78633,0.00120491,0.00120491,0.00120491
86,639.605,0.84356,0.89773,0.84767,0.98757,1,0.995,0.75594,0.78423,0.90358,0.78619,0.00119941,0.00119941,0.00119941
87,646.719,0.74238,0.88528,0.79632,0.98757,1,0.995,0.75594,0.78423,0.90358,0.78619,0.00119391,0.00119391,0.00119391
88,654.08,0.71117,0.82759,0.77364,0.99122,0.99968,0.995,0.74558,0.73733,0.87833,0.78286,0.0011884,0.0011884,0.0011884
89,661.313,0.78585,0.887,0.81549,0.99122,0.99968,0.995,0.74558,0.73733,0.87833,0.78286,0.0011829,0.0011829,0.0011829
90,668.562,0.76209,0.93175,0.78516,0.98438,0.99711,0.995,0.76884,0.73263,0.88063,0.78034,0.0011774,0.0011774,0.0011774
91,675.574,0.68196,0.87836,0.81472,0.98438,0.99711,0.995,0.76884,0.73263,0.88063,0.78034,0.0011719,0.0011719,0.0011719
92,682.686,0.79064,0.87385,0.83837,0.98612,1,0.995,0.77837,0.7025,0.84425,0.78138,0.0011664,0.0011664,0.0011664
93,689.821,0.71513,0.83557,0.82714,0.98612,1,0.995,0.77837,0.7025,0.84425,0.78138,0.0011609,0.0011609,0.0011609
94,697.099,0.6815,0.85192,0.81687,0.99166,1,0.995,0.77419,0.73664,0.79454,0.78655,0.0011554,0.0011554,0.0011554
95,704.179,0.7203,0.82668,0.79073,0.99166,1,0.995,0.77419,0.73664,0.79454,0.78655,0.0011499,0.0011499,0.0011499
96,711.344,0.83614,0.90456,0.80758,0.98431,1,0.995,0.77284,0.71215,0.76328,0.78633,0.0011444,0.0011444,0.0011444
97,718.606,0.62502,0.74571,0.7916,0.98431,1,0.995,0.77284,0.71215,0.76328,0.78633,0.00113889,0.00113889,0.00113889
98,725.98,0.73252,0.79005,0.82417,0.98566,1,0.995,0.79762,0.69484,0.75018,0.77896,0.00113339,0.00113339,0.00113339
99,733.114,0.7246,0.77872,0.81443,0.98566,1,0.995,0.79762,0.69484,0.75018,0.77896,0.00112789,0.00112789,0.00112789
100,740.208,0.72811,0.78351,0.82991,0.99226,1,0.995,0.77215,0.70439,0.7711,0.77867,0.00112239,0.00112239,0.00112239
101,747.386,0.62887,0.72613,0.79093,0.99226,1,0.995,0.77215,0.70439,0.7711,0.77867,0.00111689,0.00111689,0.00111689
102,754.593,0.71119,0.77227,0.81987,0.98443,1,0.995,0.77354,0.73489,0.75638,0.78271,0.00111139,0.00111139,0.00111139
103,761.746,0.72108,0.78028,0.83885,0.98443,1,0.995,0.77354,0.73489,0.75638,0.78271,0.00110589,0.00110589,0.00110589
104,769.318,0.65225,0.69956,0.81871,0.97739,1,0.995,0.78989,0.64944,0.70691,0.77535,0.00110039,0.00110039,0.00110039
105,776.45,0.61477,0.74327,0.80001,0.97739,1,0.995,0.78989,0.64944,0.70691,0.77535,0.00109489,0.00109489,0.00109489
106,783.835,0.71404,0.77356,0.81839,0.97945,1,0.995,0.80888,0.66838,0.67456,0.77533,0.00108938,0.00108938,0.00108938
107,791.073,0.67041,0.81204,0.79179,0.97945,1,0.995,0.80888,0.66838,0.67456,0.77533,0.00108388,0.00108388,0.00108388
108,798.446,0.61103,0.71744,0.78959,0.99242,1,0.995,0.81282,0.64853,0.65907,0.77377,0.00107838,0.00107838,0.00107838
109,805.536,0.63849,0.71057,0.78509,0.99242,1,0.995,0.81282,0.64853,0.65907,0.77377,0.00107288,0.00107288,0.00107288
110,812.708,0.68709,0.76614,0.83393,0.98641,1,0.995,0.78765,0.66789,0.66851,0.77695,0.00106738,0.00106738,0.00106738
111,819.881,0.76966,0.80271,0.7877,0.98641,1,0.995,0.78765,0.66789,0.66851,0.77695,0.00106188,0.00106188,0.00106188
112,827.15,0.71093,0.72773,0.8096,0.98882,1,0.995,0.78796,0.69663,0.68427,0.78265,0.00105638,0.00105638,0.00105638
113,834.438,0.64747,0.70643,0.79968,0.98882,1,0.995,0.78796,0.69663,0.68427,0.78265,0.00105088,0.00105088,0.00105088
114,841.898,0.58697,0.70603,0.78326,0.99242,1,0.995,0.78297,0.73304,0.67135,0.7887,0.00104538,0.00104538,0.00104538
115,849.24,0.70827,0.7178,0.80715,0.99242,1,0.995,0.78297,0.73304,0.67135,0.7887,0.00103987,0.00103987,0.00103987
116,856.489,0.65649,0.71358,0.79506,0.98971,1,0.995,0.76304,0.75998,0.70487,0.7804,0.00103437,0.00103437,0.00103437
117,863.698,0.61468,0.63851,0.80149,0.98971,1,0.995,0.76304,0.75998,0.70487,0.7804,0.00102887,0.00102887,0.00102887
118,872.72,0.68492,0.71693,0.78635,0.98682,1,0.995,0.75973,0.7457,0.68382,0.77701,0.00102337,0.00102337,0.00102337
119,881.325,0.61796,0.662,0.83261,0.98682,1,0.995,0.75973,0.7457,0.68382,0.77701,0.00101787,0.00101787,0.00101787
120,890.129,0.65466,0.69426,0.81025,0.98251,1,0.995,0.75136,0.70511,0.6498,0.77264,0.00101237,0.00101237,0.00101237
121,898.685,0.6291,0.72567,0.80217,0.98251,1,0.995,0.75136,0.70511,0.6498,0.77264,0.00100687,0.00100687,0.00100687
122,907.341,0.63333,0.70851,0.80349,0.98108,1,0.995,0.76827,0.73111,0.64432,0.77625,0.00100137,0.00100137,0.00100137
123,915.554,0.71148,0.73073,0.76013,0.98108,1,0.995,0.76827,0.73111,0.64432,0.77625,0.000995866,0.000995866,0.000995866
124,924.023,0.73979,0.72586,0.80695,0.98151,1,0.995,0.76945,0.78834,0.67867,0.78311,0.000990365,0.000990365,0.000990365
125,933.236,0.64802,0.73089,0.79611,0.98151,1,0.995,0.76945,0.78834,0.67867,0.78311,0.000984864,0.000984864,0.000984864
126,941.889,0.57591,0.66191,0.79869,0.98137,1,0.995,0.76999,0.79242,0.73413,0.78084,0.000979362,0.000979362,0.000979362
127,950.066,0.6398,0.72565,0.81395,0.98137,1,0.995,0.76999,0.79242,0.73413,0.78084,0.000973861,0.000973861,0.000973861
128,958.505,0.70605,0.69304,0.80612,0.98252,0.99985,0.995,0.74879,0.80297,0.72984,0.78091,0.00096836,0.00096836,0.00096836
129,966.837,0.67193,0.73401,0.79278,0.98252,0.99985,0.995,0.74879,0.80297,0.72984,0.78091,0.000962859,0.000962859,0.000962859
130,975.559,0.66359,0.65303,0.80945,0.98349,0.99884,0.995,0.75644,0.7757,0.72799,0.78095,0.000957358,0.000957358,0.000957358
131,984.227,0.59074,0.61197,0.79735,0.98349,0.99884,0.995,0.75644,0.7757,0.72799,0.78095,0.000951857,0.000951857,0.000951857
132,992.957,0.62301,0.70596,0.77873,0.97796,0.9964,0.995,0.78313,0.74576,0.69313,0.77951,0.000946356,0.000946356,0.000946356
133,1000.92,0.66476,0.68847,0.7923,0.97796,0.9964,0.995,0.78313,0.74576,0.69313,0.77951,0.000940855,0.000940855,0.000940855
134,1008.35,0.66147,0.64319,0.78879,0.96847,0.99456,0.995,0.80774,0.75547,0.7179,0.78115,0.000935354,0.000935354,0.000935354
135,1016.06,0.66099,0.66619,0.78501,0.96847,0.99456,0.995,0.80774,0.75547,0.7179,0.78115,0.000929853,0.000929853,0.000929853
